suite	query	wallTimeP50	wallTimeMean	wallTimeStd	processCpuTimeP50	processCpuTimeMean	processCpuTimeStd	queryCpuTimeP50	queryCpuTimeMean	queryCpuTimeStd	status	error
tpcds_cassandra_sf1	Q15	12730	12875	671	20510	21196	1678	5151	5175	278	pass	
tpcds_cassandra_sf1	Q65	51584	51127	1594	52330	52700	1675	10911	10908	13	pass	
tpcds_cassandra_sf1	Q5	53407	53802	1578	61350	62503	2480	8503	8526	199	pass	
tpcds_cassandra_sf1	Q78	44820	44985	550	60430	60743	1162	16647	16921	823	pass	
tpcds_cassandra_sf1	Q4	88550	88653	1255	160020	159410	1976	54950	55170	529	pass	
tpcds_cassandra_sf1	Q94	12933	13006	275	16800	18283	2577	4475	4640	468	pass	
tpcds_cassandra_sf1	Q39	194499	194547	381	220950	223543	5829	65246	65947	1625	pass	
tpcds_cassandra_sf1	Q51	32523	32244	863	36790	37583	1568	11911	11816	267	pass	
tpcds_cassandra_sf1	Q76	43818	44702	1811	42970	42903	533	3591	3648	196	pass	
tpcds_cassandra_sf1	Q35	57270	57949	1512	57990	57960	206	11998	12196	429	pass	
tpcds_cassandra_sf1	Q77	50489	49948	1535	53750	53590	367	9188	9120	136	pass	
tpcds_cassandra_sf1	Q30	4511	4378	670	10280	10270	495	3020	3007	401	pass	
tpcds_cassandra_sf1	Q49	45224	45438	1278	46720	46120	1672	5402	5361	158	pass	
tpcds_cassandra_sf1	Q21	88143	87902	944	88850	89186	1513	24152	24219	552	pass	
tpcds_cassandra_sf1	Q1	6108	6070	245	9480	9733	491	2512	2514	30	pass	
