suite	query	wallTimeP50	wallTimeMean	wallTimeStd	processCpuTimeP50	processCpuTimeMean	processCpuTimeStd	queryCpuTimeP50	queryCpuTimeMean	queryCpuTimeStd	status	error
tpcds_postgresql_sf1	Q15	1748	1844	213	10270	11596	4056	2480	2410	307	pass	
tpcds_postgresql_sf1	Q76	1083	1092	38	6320	6430	572	610	623	47	pass	
tpcds_postgresql_sf1	Q51	3160	3221	143	13120	13990	1629	6327	6651	800	pass	
tpcds_postgresql_sf1	Q94	1633	1646	36	8060	7886	608	2404	2481	191	pass	
tpcds_postgresql_sf1	Q49	3216	3184	102	9330	9600	704	3335	3305	91	pass	
tpcds_postgresql_sf1	Q39	9005	9023	59	53140	53123	955	29443	29433	56	pass	
tpcds_postgresql_sf1	Q65	2980	3004	96	11300	11406	211	5616	5642	157	pass	
tpcds_postgresql_sf1	Q77	4072	4111	76	14430	14323	410	5980	6158	388	pass	
tpcds_postgresql_sf1	Q35	2986	2992	17	12680	12513	626	5847	5817	161	pass	
tpcds_postgresql_sf1	Q78	5965	6036	506	27410	27726	1090	12613	12789	772	pass	
tpcds_postgresql_sf1	Q30	1038	1053	26	4630	4460	356	2002	1922	198	pass	
tpcds_postgresql_sf1	Q5	3811	3830	67	12960	13743	1587	7348	7691	1472	pass	
tpcds_postgresql_sf1	Q21	9057	9102	418	20260	21373	2754	11730	12060	623	pass	
tpcds_postgresql_sf1	Q1	744	733	44	3060	2926	416	1219	1227	116	pass	
